topic_id,label,total_books_with_topic,n_authors,top_author,top_author_count,top_author_share,top2_author_share,is_author_driven,top_author_tier_concentration,author_dominance_flag,cliffs_top_trash,top_median,trash_median,prevalence
31,Clothing Shopping Together,91,33,Alexa_Riley,3,0.03296703296703297,0.06593406593406594,False,0.0,low,0.32222222222222224,0.001629232839106497,0.001412738576123717,0.9891304347826086
32,Argument About Saying No,3,3,Lisa_Kleypas,1,0.3333333333333333,0.6666666666666666,False,0.0,medium,0.08166666666666667,0.00023572021775619028,0.0002875626130766762,0.016304347826086956
33,Business Discussion,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,-0.23333333333333334,0.003252435559913863,0.0036350864717558462,1.0
34,Archery Hunting,11,5,Jessica_Clare,3,0.2727272727272727,0.5454545454545454,False,0.0,low,0.21555555555555556,0.0006257778316552116,0.0005836333568693616,0.11956521739130435
35,Silent Ride Together,42,21,L_Steele,3,0.07142857142857142,0.14285714285714285,False,0.0,low,-0.07777777777777778,0.0009578341948834573,0.0009302254108632001,0.45652173913043476
36,Kneeling For Intimacy,87,33,Alexa_Riley,3,0.034482758620689655,0.06896551724137931,False,0.0,low,0.3422222222222222,0.0035237677005956203,0.0022803329761045986,0.9456521739130435
37,Insane Arguments,91,33,Alexa_Riley,3,0.03296703296703297,0.06593406593406594,False,0.0,low,0.3422222222222222,0.003853563713969349,0.003182529799469549,0.9891304347826086
39,Lip Biting During Intimacy,84,32,Alexa_Riley,3,0.03571428571428571,0.07142857142857142,False,0.0,low,0.36444444444444446,0.0028213029828501037,0.001837469578099892,0.9130434782608695
40,Upset About Job,6,5,Melanie_Harlow,2,0.3333333333333333,0.5,False,0.0,medium,0.06444444444444444,0.0007917020752425765,0.0007566200881078907,0.06521739130434782
41,Confused About Feelings,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.24,0.0019568833319214985,0.0018140912629505345,1.0
42,Exploring Virginity,68,31,Penny_Wylder,3,0.04411764705882353,0.08823529411764706,False,0.0,low,0.29777777777777775,0.001593206513535821,0.0012457233809493376,0.7391304347826086
43,Ready For Action,10,9,Pippa_Grant,2,0.2,0.3,False,0.0,low,0.14666666666666667,0.0008205581963950802,0.0007715514860076309,0.10869565217391304
44,Mother-player Relationship Struggles,91,33,Alexa_Riley,3,0.03296703296703297,0.06593406593406594,False,0.0,low,0.28888888888888886,0.0028373146562799033,0.00233586947088999,0.9891304347826086
45,Wanting Something,90,33,Alexa_Riley,3,0.03333333333333333,0.06666666666666667,False,0.0,low,-0.013333333333333334,0.00347820958711361,0.0034493968344533757,0.9782608695652174
46,Attraction At First Glance,5,2,Lisa_Kleypas,3,0.6,1.0,True,0.6666666666666666,high,0.08666666666666667,0.00027562341442588663,0.0002655447010607328,0.05434782608695652
47,Hair And Neck game,63,28,Alexa_Riley,3,0.047619047619047616,0.09523809523809523,False,0.0,low,0.20666666666666667,0.0012413260769990558,0.001051713729724955,0.6847826086956522
48,Deep Breaths During Emotional Moment,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.030123456790123456,0.003304967371380001,0.003093613355365659,0.967391304347826
49,Hiring A Babysitter,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,-0.035555555555555556,0.002200906255027473,0.0022032928692968237,1.0
51,Emotional Support At Clinic,5,4,JS_Scott,2,0.4,0.6,False,0.0,medium,0.10222222222222223,0.0006711117046066785,0.0006604705503890422,0.05434782608695652
53,Dress Shopping Together,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.26222222222222225,0.002338271092555416,0.0017786659069926225,1.0
54,Phone Ringing And Answering,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,-0.30444444444444446,0.005348134339426266,0.007443333432446549,1.0
