topic,mean_trash,mean_middle,mean_top,H,p,q,significant,max_group,max_mean,eta2_kw
Whispered Secrets and Soft Conversations,1.1353040872530116,1.3731456673887614,1.595656590144643,6.273115436299788,0.0434320462216225,0.2861372115888589,False,top,1.595656590144643,0.04695731248681086
Frozen Feelings,0.1024744234363699,0.1508117318494876,0.1866539250561086,6.04917561349696,0.0485778406018792,0.2984067351258299,False,top,0.1866539250561086,0.04449643531315341
Her Beautiful Skin and Sensory Connection Through Touch,0.0852465318597941,0.1239827430778317,0.0946784210355393,5.829289772727312,0.0542232830416612,0.3238334959432544,False,middle,0.1239827430778317,0.04208010739260782
Reading Emotions Through Faces,0.3086454617403397,0.3547513554723215,0.1929878785774339,5.644646211929618,0.0594676325047273,0.3455551618517938,False,middle,0.3547513554723215,0.04005105727395184
Friendships and Relationships,0.3981873858990966,0.486231199646124,0.5210458153958497,5.50320234947329,0.0638255834345194,0.3468869179573184,False,top,0.5210458153958497,0.038496729115091104
Pounding Heartbit,0.1568497405471349,0.1353110071279256,0.2075588038674362,5.488773094520952,0.0642877263322969,0.3468869179573184,False,top,0.2075588038674362,0.03833816587385662
Weekends and Leisure,0.1244528378682583,0.1570438857293712,0.0959927942369609,5.481030022020475,0.064537101015315,0.3468869179573184,False,middle,0.1570438857293712,0.03825307716506016
Marriage and Commitment,1.7973535181010776,2.480056359066632,3.3603208259762285,5.378629483798761,0.0679274712767051,0.3547309689096968,False,top,3.3603208259762285,0.03712779652526111
Moments in Bathrooms or Showers,0.532991576620298,0.6599702076217729,0.6194945346762326,5.338728041419195,0.0692962822986384,0.3547309689096968,False,middle,0.6599702076217729,0.03668931913647467
Blame and Guilt,0.1171949250937893,0.0769530858602476,0.1245543033847905,5.280851370145794,0.0713308985938442,0.356654492969221,False,top,0.1245543033847905,0.036053311759843894
Passage of Time,0.2638557534052476,0.3443917801197623,0.3489197635287078,5.179071481208558,0.0750548769298444,0.3667454213617397,False,top,0.3489197635287078,0.03493485144185229
Condoms and Protection,0.1626587866776577,0.1891162215272663,0.1067995277417604,5.123761900128037,0.0771594707521614,0.3684712963231815,False,middle,0.1891162215272663,0.034327053847560844
Gifts and Giving,0.0584592081893848,0.0969376464433455,0.0844070892139859,5.080778190627341,0.0788357192133318,0.3684712963231815,False,middle,0.0969376464433455,0.03385470539150924
Gently Touching Face,0.2386744479838627,0.1125960449845094,0.1831914680704799,4.944632171842068,0.0843891798927856,0.38539379286724,False,trash,0.2386744479838627,0.03235859529496778
