topic_id,label,total_books_with_topic,n_authors,top_author,top_author_count,top_author_share,top2_author_share,is_author_driven,top_author_tier_concentration,author_dominance_flag,cliffs_top_trash,top_median,trash_median,prevalence
119,Whispered Secrets Between Lovers,86,32,alexa riley,3,0.03488372093023256,0.06976744186046512,False,0.0,low,0.175,0.0011815389314871472,0.000591440068331022,0.483695652173913
121,Convenient Travel Options,77,33,k.a. linde,3,0.03896103896103896,0.07792207792207792,False,0.0,low,-0.02,0.0012895907051770146,0.001420069049684551,0.8369565217391305
122,Serious Conversation About Relationship,2,1,sam crescent,2,1.0,1.0,True,1.0,high,0.21777777777777776,0.00032209834636942185,0.00029231926449763276,0.021739130434782608
123,Police Involvement,90,33,alexa riley,3,0.03333333333333333,0.06666666666666667,False,0.0,low,0.2222222222222222,0.0020511696409063226,0.0018654736108837857,0.9782608695652174
124,Engagement Surprise,1,1,ana huang,1,1.0,1.0,True,1.0,high,0.49333333333333335,0.00026719296640227545,0.00021632269273381567,0.010869565217391304
125,Mid-flight Makeout,92,33,alexa riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.16444444444444445,0.00301524041665119,0.002888268418659774,1.0
126,Sardonic Glances During Argument,71,31,alexa riley,3,0.04225352112676056,0.08450704225352113,False,0.0,low,0.15333333333333332,0.0011795305642000242,0.0011360048787092568,0.7717391304347826
127,Emotional Panic Attacks,81,33,alexa riley,3,0.037037037037037035,0.07407407407407407,False,0.0,low,0.08888888888888889,0.0013601901264021724,0.0013654514054744905,0.8804347826086957
128,Easy Conversations,29,19,penny wylder,3,0.10344827586206896,0.20689655172413793,False,0.0,low,0.02666666666666667,0.000857618877903831,0.0008024081911850614,0.31521739130434784
129,Condom Check Before Sex,6,5,louise bay,2,0.3333333333333333,0.5,False,0.0,medium,0.10222222222222223,0.0004654391589586358,0.00048777253980915726,0.06521739130434782
131,Honest Emotional Conversation,5,2,catharina maura,3,0.6,1.0,True,0.6666666666666666,high,0.1288888888888889,0.00028161467832213757,0.0002509219202455514,0.05434782608695652
133,Breast And Nipple Play,92,33,alexa riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.20166666666666666,0.0027368316469617584,0.0024769336131563197,0.967391304347826
135,Sunset Beach Walk,77,33,alexa riley,3,0.03896103896103896,0.07792207792207792,False,0.0,low,-0.05333333333333334,0.0012925316568143269,0.0013341907197875402,0.8369565217391305
136,Excited Diversion,41,25,melanie harlow,3,0.07317073170731707,0.14634146341463414,False,0.0,low,0.4622222222222222,0.0010429246543411862,0.0008246786773936151,0.44565217391304346
137,Generous Offspring Circumstances,88,33,leslie north,3,0.03409090909090909,0.06818181818181818,False,0.0,low,-0.08222222222222222,0.0019805647968988453,0.0022312748292261687,0.9565217391304348
138,Archery Practice,3,1,l.j. shen,3,1.0,1.0,True,0.6666666666666666,high,0.31555555555555553,0.00029938618061182255,0.0002760142559707841,0.03260869565217391
139,Awkward Questions At Door,88,33,alexa riley,3,0.03409090909090909,0.06818181818181818,False,0.0,low,-0.3244444444444444,0.0024182332801837127,0.004090348407709957,0.9565217391304348
142,Kitchen Conversation,89,33,alexa riley,3,0.033707865168539325,0.06741573033707865,False,0.0,low,0.29333333333333333,0.0017069118380278019,0.0015082962584908241,0.967391304347826
143,Casual Conversations,26,17,sara cate,3,0.11538461538461539,0.23076923076923078,False,0.0,low,0.05611111111111111,0.0006396452473167824,0.0006480773853430012,0.14673913043478262
144,Dates And Calendar Confusion,90,33,alexa riley,3,0.03333333333333333,0.06666666666666667,False,0.0,low,-0.2111111111111111,0.001545732145051151,0.0017137086353347752,0.9782608695652174
145,Knowing Glance Conversation,91,33,alexa riley,3,0.03296703296703297,0.06593406593406594,False,0.0,low,-0.1711111111111111,0.002147282322198265,0.0023374291210273832,0.9891304347826086
146,Bedtime Routine,85,33,alexa riley,3,0.03529411764705882,0.07058823529411765,False,0.0,low,-0.16444444444444445,0.002111493047985586,0.0025844486025667175,0.9239130434782609
147,Good Luck Wishes,88,33,alexa riley,3,0.03409090909090909,0.06818181818181818,False,0.0,low,-0.12666666666666668,0.0017425048804783384,0.0017450880239959557,0.9565217391304348
148,Holiday Celebration,7,7,alexa riley,1,0.14285714285714285,0.2857142857142857,False,0.0,low,0.3377777777777778,0.0005369613962395276,0.0004678781698543636,0.07608695652173914
149,Manager's Disappointed Moment,3,1,j. clare,3,1.0,1.0,True,0.6666666666666666,high,0.1288888888888889,0.00039684071208110673,0.0003883313786050632,0.03260869565217391
150,Deflecting Blame,89,33,alexa riley,3,0.033707865168539325,0.06741573033707865,False,0.0,low,-0.38666666666666666,0.001496367082007459,0.0016581600374506802,0.967391304347826
151,Negotiating Business Deal,2,1,pipa grant,2,1.0,1.0,True,1.0,high,0.27111111111111114,0.0006541680595919991,0.0005642902360416351,0.021739130434782608
152,Hesitant Glances At Market,4,2,catharina maura,3,0.75,1.0,True,0.6666666666666666,high,0.19111111111111112,0.0003779104146574851,0.0003421981693816272,0.043478260869565216
153,Confusing Conversations,90,33,alexa riley,3,0.03333333333333333,0.06666666666666667,False,0.0,low,-0.051111111111111114,0.002100826171229391,0.002158338088203315,0.9782608695652174
154,Unexpected Pregnancy,85,33,alexa riley,3,0.03529411764705882,0.07058823529411765,False,0.0,low,0.17333333333333334,0.0013572717397675848,0.0012061812942641948,0.9239130434782609
156,Trust Assurance Conversation,90,33,alexa riley,3,0.03333333333333333,0.06666666666666667,False,0.0,low,0.2577777777777778,0.0025713715033760876,0.0024007920323080483,0.9782608695652174
157,Unexpected Barroom Moment,7,4,leslie north,3,0.42857142857142855,0.7142857142857143,False,0.0,medium,0.07555555555555556,0.00045404492999850856,0.0004485199640554198,0.07608695652173914
158,Road Trip Flirtation,3,1,stella rhys,3,1.0,1.0,True,0.6666666666666666,high,-0.20222222222222222,0.00045342513451903017,0.0004845225387223822,0.03260869565217391
160,Emotional Panic Attack,86,33,alexa riley,3,0.03488372093023256,0.06976744186046512,False,0.0,low,-0.2777777777777778,0.002181172631003923,0.003287167946213989,0.9347826086956522
161,Admiring Qualities,82,33,alexa riley,3,0.036585365853658534,0.07317073170731707,False,0.0,low,-0.1688888888888889,0.001401275948728569,0.0015032899583270047,0.8913043478260869
162,Breast And Nipple Foreplay,87,33,alexa riley,3,0.034482758620689655,0.06896551724137931,False,0.0,low,-0.18444444444444444,0.0027570866148854036,0.00339626251719623,0.9456521739130435
